expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,sbrank,rankedsubscribers,rankedviews,rankcountry
01/08/2023 22:20:44 EST,521,UCLsooMJoIpl_7ux2jvdPB-Q,supersimplesongs,supersimplesongs,@supersimplesongs,Super Simple Songs - Kids Songs,38968,education,CA,Canada,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,623,36800000,40011579165,0,0,100000,200000,500000,900000,1200000,2400000,4400000,22284893,65734644,176088347,313394301,682935926,1348074177,1941914434,3872339462,7525344520,A,FALSE,FALSE,93,79,18,2
01/08/2023 22:20:49 EST,520,UCoGForHQAmk0_9rI9CABeYw,woodyandkleiny,woodyandkleiny,@woodyandkleiny,Woody & Kleiny,41363,entertainment,GB,United Kingdom,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,774,10800000,8093375300,100000,100000,100000,300000,600000,930000,1840000,2940000,5150000,36432245,55632784,127675669,304842048,660626151,1133675521,1907214755,2934591530,5465452001,A,FALSE,FALSE,97,289,507,45
01/08/2023 22:20:52 EST,519,UCNRl8nOCoUvki2FNFxQZgEg,NRl8nOCoUvki2FNFxQZgEg,,@dednahype,dednahype,43910,comedy,LV,Latvia,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1032,12100000,12249931585,0,100000,200000,400000,800000,1500000,2110000,4550000,7980000,37874816,112567192,269858815,482913099,1068147029,1975286845,2717818554,4989261733,8003495631,A+,FALSE,FALSE,31,276,261,1
01/08/2023 22:20:53 EST,518,UCPsR7uoRhfO6lON1oUeUUJA,PsR7uoRhfO6lON1oUeUUJA,,@makeupholic1341,Makeup Holic,43838,people,JP,Japan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,409,1100000,390129693,0,0,0,0,0,0,0,30000,,0,47836,175574,487129,1173827,3030082,6537630,22894848,,B,FALSE,FALSE,221690,1196,26929,212
01/08/2023 22:20:54 EST,517,UCK1i2UviaXLUNrZlAFpw_jA,reinomariaelenawalsh,elreinoinfantil,@elreinoinfantil,El Reino Infantil,40696,music,AR,Argentina,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1388,54100000,52630446168,0,0,100000,300000,600000,1200000,1700000,3700000,7500000,22141378,63059310,148444003,290125325,642021790,1300446093,1982175588,4179969470,8497216912,A,FALSE,TRUE,102,36,13,1
01/08/2023 22:20:55 EST,516,UCyoXW-Dse7fURq30EWl_CUA,GoldminesTelefilms,goldminestelefilms,@goldminestelefilms,Goldmines,40929,film,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4652,79600000,20537470765,0,100000,200000,400000,1000000,2000000,3500000,8500000,17400000,35347500,54064648,127769235,95103426,374914652,862453753,1119564971,3217854812,5674036797,A,FALSE,FALSE,321,15,94,4
01/08/2023 22:20:58 EST,515,UCthYQycNvy1TfeTzzR4S2dA,ak29750,ajaysharma0007,@officialajaysharma07,Ajay Sharma,41030,entertainment,,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,736,14600000,10566550968,0,0,100000,200000,500000,1000000,1500000,3700000,9100000,9116315,26870184,60220636,113275203,292592855,598029043,973100345,2185185548,5985262507,A,FALSE,FALSE,456,250,321,
01/08/2023 22:20:59 EST,514,UCEeEQxm6qc_qaTE7qTV5aLQ,HumNetwork,humtvpak,@humtv,HUM TV,40688,entertainment,PK,Pakistan,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,80558,24200000,19274538199,100000,100000,200000,300000,600000,1200000,1700000,3000000,7100000,0,45557494,130316689,282966480,626565250,1292603963,1954823765,3748452214,8073801670,A,FALSE,FALSE,100,160,112,3
01/08/2023 22:21:00 EST,513,UCO5gl04EhuLl4d6HZMQdg0A,O5gl04EhuLl4d6HZMQdg0A,woodmood_tsp,@wood_mood,Wood Mood,44301,howto,CY,Cyprus,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,566,4100000,4071572906,0,30000,70000,110000,200000,450000,730000,1760000,3767000,22334220,44715867,76868434,119947070,208024064,474852817,742394299,1682861320,3812501473,A,FALSE,FALSE,841,886,1515,1
01/08/2023 22:21:01 EST,512,UCo6y9hnRawAqtyWhRhblXqg,o6y9hnRawAqtyWhRhblXqg,dushyantkukreja99,@dushyant_kukreja,Dushyant kukreja,42273,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,694,19700000,13354027033,100000,100000,100000,300000,600000,2100000,2900000,5900000,12820000,24780707,35708224,76060611,210561537,440531568,1112316643,1663759012,3648982706,8840100543,A,FALSE,FALSE,192,200,216,62
