expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,database_rank,sbrank,db_top_10,sp_top_100_excluding_top_10,rankedsubscribers,rankedviews,rankcountry
01/08/2023 22:21:01 EST,512,UCo6y9hnRawAqtyWhRhblXqg,o6y9hnRawAqtyWhRhblXqg,dushyantkukreja99,@dushyant_kukreja,Dushyant kukreja,42273,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,694,19700000,13354027033,100000,100000,100000,300000,600000,2100000,2900000,5900000,12820000,24780707,35708224,76060611,210561537,440531568,1112316643,1663759012,3648982706,8840100543,A,FALSE,FALSE,48,192,FALSE,TRUE,200,216,62
01/08/2023 22:20:24 EST,527,UCAgAsH5n26IHMDyzwhF3wIw,AgAsH5n26IHMDyzwhF3wIw,sevengersofficial,@sevengersofficial,SEVENGERS,43255,comedy,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,687,11500000,7754309104,100000,100000,100000,200000,500000,1200000,1530000,3410000,8540000,14252525,38857738,107416442,185868921,436634045,995591139,1255668365,2584081439,6199096691,A,FALSE,FALSE,49,194,FALSE,TRUE,282,538,122
01/08/2023 22:23:14 EST,461,UCNBTflmnht6ZMRNCDNilw9g,NBTflmnht6ZMRNCDNilw9g,zutigang,@zutigang,ZutiGang,44260,people,,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1013,10500000,11582466405,0,0,100000,200000,400000,880000,1520000,3420000,6610000,23302660,71508227,171392790,288015187,471056168,959801703,1629574159,3598542491,6606301816,A,FALSE,FALSE,50,199,FALSE,TRUE,292,286,
01/08/2023 22:26:51 EST,367,UC56gTxNs4f9xZ7Pa2i5xNzg,sonymusicindiasme,sonymusicindia,@sonymusicindia,Sony Music India,40058,music,IN,India,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3322,54800000,26673197247,0,100000,100000,300000,600000,1200000,1800000,3500000,6400000,27756108,72364812,147281613,247459634,462630194,843383182,1293240538,2618786985,4706286563,A,FALSE,FALSE,51,200,FALSE,TRUE,33,43,13
01/08/2023 22:23:03 EST,465,UCw7xjxzbMwgBSmbeYwqYRMg,Sonypalindia,,@sonypalindia,Sony PAL,41768,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20925,34500000,25266421318,0,0,100000,200000,400000,900000,1300000,2700000,5800000,29848320,44246377,99876750,194034759,437556635,902718485,1306974933,2621422467,5396167189,A,FALSE,FALSE,52,201,FALSE,TRUE,91,53,24
01/08/2023 22:22:45 EST,472,UCBnZ16ahKA2DZ_T5W0FPUXg,thechuchutv,chuchutv,@chuchutv,ChuChu TV Nursery Rhymes & Kids Songs,41314,education,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,524,60200000,41258943608,100000,100000,200000,300000,500000,1200000,1800000,3500000,7300000,12227004,37725251,90167958,181277269,426138104,903638578,1425598366,2887259057,6105797150,A,FALSE,TRUE,53,206,FALSE,TRUE,25,17,8
01/08/2023 22:55:35 EST,247,UCxd6ifFZycyUB45d2t9VPQw,xd6ifFZycyUB45d2t9VPQw,,@themermaidscales3585,TheMermaidscales,42950,entertainment,,Unspecified,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1840,6320000,6162390198,10000,30000,70000,140000,330000,700000,1130000,2520000,4950000,35437779,63758388,111400262,199419023,426787077,842140144,1303340517,2943324987,5474170761,A,FALSE,FALSE,54,209,FALSE,TRUE,661,813,
01/08/2023 22:29:10 EST,316,UCF4Wxdo3inmxP-Y59wXDsFw,mbcnews,mbcnews11,@mbcnews11,MBCNEWS,39026,news,KR,Korea,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,165761,2910000,8331043629,0,0,20000,50000,130000,220000,320000,660000,1150000,13430689,42492133,110147898,204285098,402598071,839661048,1211025375,2594131005,4164110025,A,FALSE,FALSE,55,222,FALSE,TRUE,1006,484,139
01/08/2023 22:20:13 EST,534,UC0Wju2yvRlfwqraLlz5152Q,0Wju2yvRlfwqraLlz5152Q,pandaboi,@pandaboi,PANDA BOI,44170,entertainment,IT,Italy,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,769,15500000,10165818674,0,0,100000,300000,700000,3200000,4600000,7140000,12110000,11751158,21792438,70915492,137644286,398565738,1245071221,1775328258,3027400460,6821289442,A,FALSE,FALSE,56,224,FALSE,TRUE,241,352,1
01/08/2023 22:22:19 EST,483,UCLkAepWjdylmXSltofFvsYQ,bangtantv,bangtan_tv,@bts,BANGTANTV,41260,music,KR,Korea,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1880,72400000,18768686877,100000,100000,200000,400000,800000,1400000,1800000,5000000,10800000,22186956,40545955,91545204,197668263,409261826,699742577,941426010,2270138065,4630953067,A,FALSE,FALSE,57,225,FALSE,TRUE,19,120,2
01/08/2023 22:23:43 EST,446,UCaayLD9i5x4MmIoVZxXSv_g,tseriesbhakti,tseriesbhaktisagar,@tseriesbhaktisagar,T-Series Bhakti Sagar,40587,music,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24644,56400000,26428615764,0,0,100000,300000,600000,1700000,2900000,5400000,9900000,25526274,40272798,92814566,198628083,401513370,985489104,1671525297,3000443882,5631008304,A,FALSE,FALSE,58,226,FALSE,TRUE,29,45,10
01/08/2023 22:56:26 EST,220,UC4zWG9LccdWGUlF77LZ8toA,4zWG9LccdWGUlF77LZ8toA,primevideoin,@primevideoin,Prime Video India,42646,entertainment,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5305,10100000,7209937884,0,0,0,150000,700000,950000,1180000,1670000,3220000,3049118,8097734,28910556,92995486,377109716,625082788,978819084,1572564606,3139215247,A,FALSE,FALSE,59,230,FALSE,TRUE,296,614,183
01/08/2023 22:56:56 EST,205,UCj-SWZSE0AmotGSQ3apROHw,powerkids,powerkids,@powerkidstv,PowerKids TV,41857,film,IE,Ireland,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3440,31300000,15973475256,0,100000,200000,400000,800000,1500000,2200000,4400000,7900000,15260562,45669848,106324023,220376774,424185701,806884665,1182216149,2448697832,4400857011,A,FALSE,FALSE,60,232,FALSE,TRUE,111,148,1
01/08/2023 22:23:04 EST,464,UCFXZBGS7J0IDINQc8xtMqCg,FXZBGS7J0IDINQc8xtMqCg,,@scottsreality,scottsreality,44308,entertainment,NL,The Netherlands,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1111,5580000,8647363177,10000,30000,70000,110000,190000,400000,690000,1940000,4280000,33491542,68704187,143858595,234860353,421520464,916446674,1504490255,3676252746,7019490974,A,FALSE,FALSE,61,240,FALSE,TRUE,736,456,12
01/08/2023 22:20:22 EST,529,UClZAOlfhJQJRym39WoAPxdw,lZAOlfhJQJRym39WoAPxdw,,@thexoteam,XO TEAM,44451,people,US,United States,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2535,10700000,10639427856,100000,100000,100000,200000,300000,700000,1260000,4330000,10385000,18681910,40206201,95944395,182325564,382251442,810148840,1434309113,4715129412,10456071435,A,FALSE,FALSE,62,246,FALSE,TRUE,290,319,178
